date,series,kwh
2026-04-03,history,41.41
2026-04-04,history,16.316
2026-04-05,history,21.93
2026-04-06,history,20.844
2026-04-07,history,32.722
2026-04-08,history,31.754
2026-04-09,history,25.398
2026-04-10,history,30.953
2026-04-11,history,45.344
2026-04-12,history,35.656
2026-04-13,history,46.313
2026-04-14,history,15.894
2026-04-15,history,27.516
2026-04-16,history,20.828
2026-04-17,history,8.797
2026-04-18,history,24.59
2026-04-19,history,16.668
2026-04-20,history,29.586
2026-04-21,history,31.09
2026-04-22,history,41.664
2026-04-23,history,25.558
2026-04-24,history,31.489
2026-04-25,history,28.152
2026-04-26,history,17.067
2026-04-27,history,21.574
2026-04-28,history,35.835
2026-04-29,history,44.262
2026-04-30,history,30.258
2026-05-01,history,8.422
2026-05-02,history,1.383
2026-05-03,history,1.414
2026-05-04,history,10.797
2026-05-05,history,38.101
2026-05-06,history,42.617
2026-05-07,history,27.051
2026-05-08,history,19.629
2026-05-09,history,15.758
2026-05-10,history,18.168
2026-05-11,history,40.809
2026-05-12,history,35.89
2026-05-13,history,22.692
2026-05-14,history,12.398
2026-05-15,history,27.426
2026-05-16,history,37.332
2026-05-17,history,13.308
2026-05-18,history,8.196
2026-05-19,history,5.02
2026-05-20,history,18.335
2026-05-21,history,3.949
2026-05-22,history,17.5
2026-05-23,history,12.297
2026-05-24,history,1.926
2026-05-25,history,2.242
2026-05-26,history,2.086
2026-05-27,history,7.985
2026-05-28,history,4.934
2026-05-29,history,27.179
2026-05-30,history,29.739
2026-05-31,history,23.414
2026-06-01,history,21.597
2026-06-02,forecast,25.29
2026-06-03,forecast,27.34
2026-06-04,forecast,29.33
2026-06-05,forecast,31.4
2026-06-06,forecast,33.54
2026-06-07,forecast,35.78
2026-06-08,forecast,38.14
2026-06-09,forecast,40.6
2026-06-10,forecast,43.17
2026-06-11,forecast,45.82
2026-06-12,forecast,48.58
2026-06-13,forecast,51.38
2026-06-14,forecast,54.23
2026-06-15,forecast,57.16
