time,water usage dl
2025-06-01 00:00,6704566
2025-06-01 00:15,6704566
2025-06-01 00:30,6704566
2025-06-01 00:45,6704566
2025-06-01 01:00,6704566
2025-06-01 01:15,6704566
2025-06-01 01:30,6704566
2025-06-01 01:45,6704606
2025-06-01 02:00,6704606
2025-06-01 02:15,6704606
2025-06-01 02:30,6704606
2025-06-01 02:45,6704643
2025-06-01 03:00,6704676
2025-06-01 03:15,6704693
2025-06-01 03:30,6704693
2025-06-01 03:45,6704693
2025-06-01 04:00,6704693
2025-06-01 04:15,6704693
2025-06-01 04:30,6704693
2025-06-01 04:45,6704763
2025-06-01 05:00,6704763
2025-06-01 05:15,6704763
2025-06-01 05:30,6704763
2025-06-01 05:45,6704763
2025-06-01 06:00,6704763
2025-06-01 06:15,6704803
2025-06-01 06:30,6704803
2025-06-01 06:45,6704870
2025-06-01 07:00,6704870
2025-06-01 07:15,6704870
2025-06-01 07:30,6704870
2025-06-01 07:45,6704870
2025-06-01 08:00,6704870
2025-06-01 08:15,6704870
2025-06-01 08:30,6704870
2025-06-01 08:45,6704870
2025-06-01 09:00,6704870
2025-06-01 09:15,6704870
2025-06-01 09:30,6704923
2025-06-01 09:45,6704980
2025-06-01 10:00,6704986
2025-06-01 10:15,6704986
2025-06-01 10:30,6704986
2025-06-01 10:45,6705053
2025-06-01 11:00,6705073
2025-06-01 11:15,6705130
2025-06-01 11:30,6705130
2025-06-01 11:45,6705130
2025-06-01 12:00,6705130
2025-06-01 12:15,6705156
2025-06-01 12:30,6705220
2025-06-01 12:45,6705220
2025-06-01 13:00,6705220
2025-06-01 13:15,6705220
2025-06-01 13:30,6705220
2025-06-01 13:45,6705300
2025-06-01 14:00,6705300
2025-06-01 14:15,6705346
2025-06-01 14:30,6705346
2025-06-01 14:45,6705403
2025-06-01 15:00,6705440
2025-06-01 15:15,6705440
2025-06-01 15:30,6705800
2025-06-01 15:45,6705800
2025-06-01 16:00,6706416
2025-06-01 16:15,6706433
2025-06-01 16:30,6706433
2025-06-01 16:45,6706433
2025-06-01 17:00,6706473
2025-06-01 17:15,6707100
2025-06-01 17:30,6707130
2025-06-01 17:45,6707173
2025-06-01 18:00,6707173
2025-06-01 18:15,6707173
2025-06-01 18:30,6707173
2025-06-01 18:45,6707173
2025-06-01 19:00,6707173
2025-06-01 19:15,6707173
2025-06-01 19:30,6707173
2025-06-01 19:45,6707173
2025-06-01 20:00,6707173
2025-06-01 20:15,6707210
2025-06-01 20:30,6707213
2025-06-01 20:45,6707213
2025-06-01 21:00,6707213
2025-06-01 21:15,6707213
2025-06-01 21:30,6707213
2025-06-01 21:45,6707303
2025-06-01 22:00,6707303
2025-06-01 22:15,6707303
2025-06-01 22:30,6707376
2025-06-01 22:45,6707436
2025-06-01 23:00,6707436
2025-06-01 23:15,6707493
2025-06-01 23:30,6707493
2025-06-01 23:45,6707493
2025-06-02 00:00,6707493
2025-06-02 00:15,6707493
2025-06-02 00:30,6707493
2025-06-02 00:45,6707493
2025-06-02 01:00,6707493
2025-06-02 01:15,6707493
2025-06-02 01:30,6707493
2025-06-02 01:45,6707493
2025-06-02 02:00,6707493
2025-06-02 02:15,6707530
2025-06-02 02:30,6707530
2025-06-02 02:45,6707646
2025-06-02 03:00,6707646
2025-06-02 03:15,6707646
2025-06-02 03:30,6707646
2025-06-02 03:45,6707646
2025-06-02 04:00,6707646
2025-06-02 04:15,6707646
2025-06-02 04:30,6707646
2025-06-02 04:45,6707646
2025-06-02 05:00,6707646
2025-06-02 05:15,6707646
2025-06-02 05:30,6707646
2025-06-02 05:45,6707646
2025-06-02 06:00,6707646
2025-06-02 06:15,6707683
2025-06-02 06:30,6707723
2025-06-02 06:45,6707723
2025-06-02 07:00,6707723
2025-06-02 07:15,6707723
2025-06-02 07:30,6707723
2025-06-02 07:45,6707726
2025-06-02 08:00,6707726
2025-06-02 08:15,6707726
2025-06-02 08:30,6707726
2025-06-02 08:45,6708210
2025-06-02 09:00,6708280
2025-06-02 09:15,6708350
2025-06-02 09:30,6708350
2025-06-02 09:45,6708350
2025-06-02 10:00,6708350
2025-06-02 10:15,6708370
2025-06-02 10:30,6708370
2025-06-02 10:45,6708370
2025-06-02 11:00,6708473
2025-06-02 11:15,6708473
2025-06-02 11:30,6708473
2025-06-02 11:45,6708473
2025-06-02 12:00,6708473
2025-06-02 12:15,6708473
2025-06-02 12:30,6708473
2025-06-02 12:45,6708476
2025-06-02 13:00,6708496
2025-06-02 13:15,6708533
2025-06-02 13:30,6708533
2025-06-02 13:45,6708533
2025-06-02 14:00,6708603
2025-06-02 14:15,6708603
2025-06-02 14:30,6708603
2025-06-02 14:45,6708603
2025-06-02 15:00,6709070
2025-06-02 15:15,6709070
2025-06-02 15:30,6709143
2025-06-02 15:45,6709170
2025-06-02 16:00,6709173
2025-06-02 16:15,6709220
2025-06-02 16:30,6709240
2025-06-02 16:45,6709243
2025-06-02 17:00,6709243
2025-06-02 17:15,6709243
2025-06-02 17:30,6709303
2025-06-02 17:45,6709303
2025-06-02 18:00,6709303
2025-06-02 18:15,6709306
2025-06-02 18:30,6709370
2025-06-02 18:45,6709406
2025-06-02 19:00,6709486
2025-06-02 19:15,6709520
2025-06-02 19:30,6709523
2025-06-02 19:45,6709523
2025-06-02 20:00,6709613
2025-06-02 20:15,6709636
2025-06-02 20:30,6709673
2025-06-02 20:45,6709710
2025-06-02 21:00,6709716
2025-06-02 21:15,6709716
2025-06-02 21:30,6709716
2025-06-02 21:45,6709720
2025-06-02 22:00,6709753
2025-06-02 22:15,6709753
2025-06-02 22:30,6709753
2025-06-02 22:45,6709756
