date,series,value
2026-04-03,history,6.462
2026-04-04,history,5.878
2026-04-05,history,6.714
2026-04-06,history,6.028
2026-04-07,history,5.731
2026-04-08,history,5.978
2026-04-09,history,5.935
2026-04-10,history,6.945
2026-04-11,history,5.717
2026-04-12,history,5.655
2026-04-13,history,3.373
2026-04-14,history,6.813
2026-04-15,history,5.702
2026-04-16,history,6.33
2026-04-17,history,5.824
2026-04-18,history,6.292
2026-04-19,history,6.72
2026-04-20,history,5.697
2026-04-21,history,5.694
2026-04-22,history,5.668
2026-04-23,history,5.857
2026-04-24,history,5.757
2026-04-25,history,5.726
2026-04-26,history,5.739
2026-04-27,history,5.895
2026-04-28,history,5.795
2026-04-29,history,5.77
2026-04-30,history,5.828
2026-05-01,history,5.715
2026-05-02,history,5.718
2026-05-03,history,6.335
2026-05-04,history,5.786
2026-05-05,history,1.146
2026-05-06,history,2.755
2026-05-07,history,6.059
2026-05-08,history,8.769
2026-05-09,history,5.846
2026-05-10,history,6.402
2026-05-11,history,7.049
2026-05-12,history,4.479
2026-05-13,history,6.597
2026-05-14,history,6.018
2026-05-15,history,6.778
2026-05-16,history,3.854
2026-05-17,history,4.768
2026-05-18,history,6.009
2026-05-19,history,5.806
2026-05-20,history,6.655
2026-05-21,history,6.091
2026-05-22,history,5.737
2026-05-23,history,5.736
2026-05-24,history,5.755
2026-05-25,history,5.687
2026-05-26,history,5.692
2026-05-27,history,5.761
2026-05-28,history,5.718
2026-05-29,history,5.998
2026-05-30,history,5.712
2026-05-31,history,7.337
2026-06-01,history,6.609
2026-06-02,forecast,5.939
2026-06-03,forecast,5.926
2026-06-04,forecast,5.889
2026-06-05,forecast,5.854
2026-06-06,forecast,5.818
2026-06-07,forecast,5.782
2026-06-08,forecast,5.746
2026-06-09,forecast,5.71
2026-06-10,forecast,5.675
2026-06-11,forecast,5.639
2026-06-12,forecast,5.604
2026-06-13,forecast,5.567
2026-06-14,forecast,5.533
2026-06-15,forecast,5.491
2026-06-16,forecast,5.455
2026-06-17,forecast,5.424
2026-06-18,forecast,5.392
2026-06-19,forecast,5.362
2026-06-20,forecast,5.332
2026-06-21,forecast,5.303
2026-06-22,forecast,5.274
2026-06-23,forecast,5.247
2026-06-24,forecast,5.219
2026-06-25,forecast,5.193
2026-06-26,forecast,5.167
2026-06-27,forecast,5.141
2026-06-28,forecast,5.117
2026-06-29,forecast,5.092
2026-06-30,forecast,5.068
2026-07-01,forecast,5.045
