date,series,value
2026-04-03,history,1.449
2026-04-04,history,0.961
2026-04-05,history,1.835
2026-04-06,history,1.049
2026-04-07,history,1.202
2026-04-08,history,1.021
2026-04-09,history,1.958
2026-04-10,history,1.717
2026-04-11,history,0.808
2026-04-12,history,0.935
2026-04-13,history,0.889
2026-04-14,history,1.436
2026-04-15,history,0.615
2026-04-16,history,1.025
2026-04-17,history,0.675
2026-04-18,history,1.063
2026-04-19,history,1.59
2026-04-20,history,1.351
2026-04-21,history,1.017
2026-04-22,history,1.558
2026-04-23,history,1.055
2026-04-24,history,2.63
2026-04-25,history,0.891
2026-04-26,history,0.925
2026-04-27,history,1.557
2026-04-28,history,1.32
2026-04-29,history,0.7
2026-04-30,history,1.672
2026-05-01,history,0.9
2026-05-02,history,0.448
2026-05-03,history,0.442
2026-05-04,history,0.691
2026-05-05,history,1.087
2026-05-06,history,1.222
2026-05-07,history,2.132
2026-05-08,history,1.204
2026-05-09,history,2.061
2026-05-10,history,0.837
2026-05-11,history,1.121
2026-05-12,history,1.282
2026-05-13,history,1.57
2026-05-14,history,1.727
2026-05-15,history,1.771
2026-05-16,history,1.225
2026-05-17,history,1.654
2026-05-18,history,0.51
2026-05-19,history,0.733
2026-05-20,history,0.863
2026-05-21,history,0.844
2026-05-22,history,1.21
2026-05-23,history,0.436
2026-05-24,history,0.436
2026-05-25,history,0.398
2026-05-26,history,0.441
2026-05-27,history,1.012
2026-05-28,history,0.469
2026-05-29,history,0.843
2026-05-30,history,0.506
2026-05-31,history,0.701
2026-06-01,history,0.667
2026-06-02,forecast,0.99
2026-06-03,forecast,1.1
2026-06-04,forecast,1.217
2026-06-05,forecast,1.337
2026-06-06,forecast,1.458
2026-06-07,forecast,1.576
2026-06-08,forecast,1.693
2026-06-09,forecast,1.808
2026-06-10,forecast,1.92
2026-06-11,forecast,2.032
2026-06-12,forecast,2.141
2026-06-13,forecast,2.248
2026-06-14,forecast,2.351
2026-06-15,forecast,2.452
2026-06-16,forecast,2.551
2026-06-17,forecast,2.647
2026-06-18,forecast,2.741
2026-06-19,forecast,2.833
2026-06-20,forecast,2.922
2026-06-21,forecast,3.008
2026-06-22,forecast,3.092
2026-06-23,forecast,3.174
2026-06-24,forecast,3.253
2026-06-25,forecast,3.33
2026-06-26,forecast,3.404
2026-06-27,forecast,3.477
2026-06-28,forecast,3.546
2026-06-29,forecast,3.614
2026-06-30,forecast,3.679
2026-07-01,forecast,3.741
