date,series,value
2026-04-03,history,40.797
2026-04-04,history,16.762
2026-04-05,history,19.984
2026-04-06,history,22.965
2026-04-07,history,32.644
2026-04-08,history,30.656
2026-04-09,history,22.738
2026-04-10,history,26.188
2026-04-11,history,53.758
2026-04-12,history,29.543
2026-04-13,history,52.301
2026-04-14,history,16.761
2026-04-15,history,23.266
2026-04-16,history,24.094
2026-04-17,history,9.727
2026-04-18,history,21.719
2026-04-19,history,17.75
2026-04-20,history,29.964
2026-04-21,history,28.039
2026-04-22,history,45.567
2026-04-23,history,21.999
2026-04-24,history,29.685
2026-04-25,history,33.007
2026-04-26,history,17.415
2026-04-27,history,21.25
2026-04-28,history,32.042
2026-04-29,history,42.129
2026-04-30,history,30.731
2026-05-01,history,15.378
2026-05-02,history,1.379
2026-05-03,history,1.41
2026-05-04,history,4.801
2026-05-05,history,41.66
2026-05-06,history,39.785
2026-05-07,history,30.719
2026-05-08,history,18.266
2026-05-09,history,17.07
2026-05-10,history,14.04
2026-05-11,history,38.433
2026-05-12,history,42.195
2026-05-13,history,22.547
2026-05-14,history,13.977
2026-05-15,history,26.882
2026-05-16,history,36.785
2026-05-17,history,13.891
2026-05-18,history,9.129
2026-05-19,history,5.012
2026-05-20,history,17.281
2026-05-21,history,5.008
2026-05-22,history,11.445
2026-05-23,history,18.351
2026-05-24,history,1.93
2026-05-25,history,2.238
2026-05-26,history,2.086
2026-05-27,history,6.641
2026-05-28,history,6.274
2026-05-29,history,20.785
2026-05-30,history,29.715
2026-05-31,history,24.621
2026-06-01,history,26.832
2026-06-02,forecast,26.261
2026-06-03,forecast,27.569
2026-06-04,forecast,29.067
2026-06-05,forecast,30.705
2026-06-06,forecast,32.405
2026-06-07,forecast,34.146
2026-06-08,forecast,36.001
2026-06-09,forecast,37.928
2026-06-10,forecast,39.924
2026-06-11,forecast,41.969
2026-06-12,forecast,44.074
2026-06-13,forecast,46.187
2026-06-14,forecast,48.311
2026-06-15,forecast,50.487
2026-06-16,forecast,52.694
2026-06-17,forecast,54.932
2026-06-18,forecast,57.189
2026-06-19,forecast,59.454
2026-06-20,forecast,61.717
2026-06-21,forecast,63.967
2026-06-22,forecast,66.192
2026-06-23,forecast,68.383
2026-06-24,forecast,70.527
2026-06-25,forecast,72.613
2026-06-26,forecast,74.632
2026-06-27,forecast,76.576
2026-06-28,forecast,78.436
2026-06-29,forecast,80.207
2026-06-30,forecast,81.885
2026-07-01,forecast,83.465
