date,series,value
2026-04-03,history,329.4
2026-04-04,history,335.6
2026-04-05,history,508.7
2026-04-06,history,266.0
2026-04-07,history,198.3
2026-04-08,history,374.0
2026-04-09,history,714.4
2026-04-10,history,423.6
2026-04-11,history,199.4
2026-04-12,history,187.0
2026-04-13,history,212.3
2026-04-14,history,365.7
2026-04-15,history,157.3
2026-04-16,history,289.7
2026-04-17,history,284.3
2026-04-18,history,212.0
2026-04-19,history,359.3
2026-04-20,history,180.4
2026-04-21,history,357.0
2026-04-22,history,408.0
2026-04-23,history,333.6
2026-04-24,history,802.4
2026-04-25,history,295.6
2026-04-26,history,196.7
2026-04-27,history,462.3
2026-04-28,history,389.4
2026-04-29,history,336.3
2026-04-30,history,663.3
2026-05-01,history,237.0
2026-05-02,history,0.0
2026-05-03,history,0.0
2026-05-04,history,92.7
2026-05-05,history,453.3
2026-05-06,history,413.7
2026-05-07,history,745.3
2026-05-08,history,436.4
2026-05-09,history,659.0
2026-05-10,history,196.6
2026-05-11,history,283.7
2026-05-12,history,140.7
2026-05-13,history,298.6
2026-05-14,history,268.4
2026-05-15,history,314.0
2026-05-16,history,281.3
2026-05-17,history,321.7
2026-05-18,history,0.0
2026-05-19,history,0.0
2026-05-20,history,156.6
2026-05-21,history,181.0
2026-05-22,history,426.0
2026-05-23,history,78.7
2026-05-24,history,0.0
2026-05-25,history,1.3
2026-05-26,history,0.0
2026-05-27,history,314.0
2026-05-28,history,164.4
2026-05-29,history,235.0
2026-05-30,history,137.0
2026-05-31,history,413.3
2026-06-01,history,429.3
2026-06-02,forecast,369.03
2026-06-03,forecast,374.448
2026-06-04,forecast,379.448
2026-06-05,forecast,382.13
2026-06-06,forecast,383.532
2026-06-07,forecast,383.936
2026-06-08,forecast,383.847
2026-06-09,forecast,383.539
2026-06-10,forecast,383.144
2026-06-11,forecast,382.885
2026-06-12,forecast,382.565
2026-06-13,forecast,382.311
2026-06-14,forecast,382.055
2026-06-15,forecast,381.975
2026-06-16,forecast,381.925
2026-06-17,forecast,381.861
2026-06-18,forecast,381.817
2026-06-19,forecast,381.788
2026-06-20,forecast,381.769
2026-06-21,forecast,381.758
2026-06-22,forecast,381.752
2026-06-23,forecast,381.748
2026-06-24,forecast,381.747
2026-06-25,forecast,381.746
2026-06-26,forecast,381.746
2026-06-27,forecast,381.746
2026-06-28,forecast,381.747
2026-06-29,forecast,381.747
2026-06-30,forecast,381.747
2026-07-01,forecast,381.748
